SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,22 Harbor Rd,Winter Harbor,ME,04693,289000,3,2.0,Winter Harbor,1932,9583,1973,1,150,,Active,,,https://www.redfin.com/ME/Winter-Harbor/22-Harbor-Rd-04693/home/85757005,MREIS,1578040,N,Y,44.391457,-68.0874333
MLS Listing,,Single Family Residential,766 Morgan Bay Rd,Blue Hill,ME,04614,850000,3,3.0,Blue Hill,2030,152460,1980,1,419,,Active,,,https://www.redfin.com/ME/Blue-Hill/766-Morgan-Bay-Rd-04614/home/100349042,MREIS,1578036,N,Y,44.4443085,-68.4916311
MLS Listing,,Vacant Land,533A Range Rd,Blue Hill,ME,04614,149000,,,Blue Hill,,217800,,1,,,Active,,,https://www.redfin.com/ME/Blue-Hill/533-Range-Rd-04614/home/100350480,MREIS,1578022,N,Y,44.4674961,-68.6212925
MLS Listing,,Single Family Residential,5 Ash Rd,Dedham,ME,04429,389900,3,3.0,Dedham,1744,44866,2006,1,224,,Active,,,https://www.redfin.com/ME/Dedham/5-Ash-Rd-04429/home/100182903,MREIS,1577016,N,Y,44.6886534,-68.5905366
MLS Listing,,Single Family Residential,45 Egypt Ln,Franklin,ME,04634,379900,3,2.0,Franklin,1352,93218,2010,1,281,,Active,,,https://www.redfin.com/ME/Franklin/45-Egypt-Ln-04634/home/85718480,MREIS,1577955,N,Y,44.5740721,-68.294163
MLS Listing,,Condo/Co-op,79 East Ridge Rd #101,Southwest Harbor,ME,04679,185000,1,1.0,Southwest Harbor,567,,1988,1,326,216,Active,,,https://www.redfin.com/ME/Southwest-Harbor/79-E-Ridge-Rd-04679/unit-101/home/100210246,MREIS,1577935,N,Y,44.2864576,-68.3322936
MLS Listing,,Vacant Land,56 Dodge Point Rd,Tremont,ME,04674,209000,,,Tremont,,65340,,2,,,Active,,,https://www.redfin.com/ME/Seal-Cove/56-Dodge-Point-Rd-04674/home/100341419,MREIS,1577899,N,Y,44.2708666,-68.4048484
MLS Listing,,Single Family Residential,18 Grover Ave,Mount Desert,ME,04660,495000,2,1.0,Mount Desert,1195,23522,1930,2,414,,Active,,,https://www.redfin.com/ME/Mount-Desert/18-Grover-Ave-04660/home/85769723,MREIS,1577861,N,Y,44.3214021,-68.2039785
MLS Listing,,Single Family Residential,394 Jacob Buck Poind Rd,Bucksport,ME,04416,259000,2,1.0,Bucksport,1404,98010,2002,2,184,,Active,,,https://www.redfin.com/ME/Bucksport/394-Jacob-Buck-Pond-Rd-04416/home/85795944,MREIS,1577836,N,Y,44.6409,-68.7395913
MLS Listing,,Single Family Residential,1192 Millvale Rd,Bucksport,ME,04416,258590,2,1.0,Bucksport,1210,239580,1972,4,214,,Active,,,https://www.redfin.com/ME/Bucksport/1192-Millvale-Rd-04416/home/85795609,MREIS,1577790,N,Y,44.6706674,-68.7988705
