SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,24 Hemlock Dr,Durham,ME,04222,685900,4,2.5,Durham,2800,692604,2004,1,245,,Active,,,https://www.redfin.com/ME/Durham/24-Hemlock-Dr-04222/home/97655144,MREIS,1578047,N,Y,43.971565,-70.1421249
MLS Listing,,Single Family Residential,6 Boston Ave,Lewiston,ME,04240,200000,3,1.5,Lewiston,1591,6534,1938,1,126,,Active,,,https://www.redfin.com/ME/Lewiston/6-Boston-Ave-04240/home/100192772,MREIS,1578032,N,Y,44.0942365,-70.1985105
MLS Listing,,Single Family Residential,403 E East Hebron Rd,Turner,ME,04282,1200000,4,2.5,Turner,2686,479160,1990,1,447,,Active,,,https://www.redfin.com/ME/Turner/403-E-Hebron-Rd-04282/home/85777117,MREIS,1578026,N,Y,44.2369362,-70.3085507
MLS Listing,,Single Family Residential,65 Lakeshore Dr,Leeds,ME,04263,325000,1,1.0,Leeds,616,9583,2005,1,528,,Active,,,https://www.redfin.com/ME/Leeds/65-Lakeshore-Dr-04263/home/100143413,MREIS,1578012,N,Y,44.326366,-70.118226
MLS Listing,,Single Family Residential,43 Sherman Ave,Auburn,ME,04210,279900,3,1.0,Auburn,1658,10890,1971,1,169,,Active,,,https://www.redfin.com/ME/Auburn/43-Sherman-Ave-04210/home/97707580,MREIS,1577988,N,Y,44.1070996,-70.2581194
MLS Listing,,Single Family Residential,931 Old Danville Rd,Auburn,ME,04210,525000,4,2.5,Auburn,2504,74923,2000,1,210,,Active,,,https://www.redfin.com/ME/Auburn/931-Old-Danville-Rd-04210/home/97708998,MREIS,1577977,N,Y,44.028994,-70.264343
MLS Listing,,Single Family Residential,264 Harris Hill Rd,Poland,ME,04274,330000,3,1.5,Poland,1344,87120,1982,1,246,,Active,,,https://www.redfin.com/ME/Poland/264-Harris-Hill-Rd-04274/home/99992491,MREIS,1577946,N,Y,44.0766779,-70.3505892
MLS Listing,,Single Family Residential,362 Middle Rd,Sabattus,ME,04280,250000,2,2.0,Sabattus,960,32670,1972,1,260,,Active,,,https://www.redfin.com/ME/Sabattus/362-Middle-Rd-04280/home/85773358,MREIS,1577968,N,Y,44.101103,-70.085696
MLS Listing,,Mobile/Manufactured Home,17 Frog Pond Ln,Turner,ME,04282,197500,3,1.0,Turner,1008,34412,2020,1,196,50,Active,,,https://www.redfin.com/ME/Turner/17-Frog-Pond-Ln-04282/home/85778965,MREIS,1577952,N,Y,44.233373,-70.265446
MLS Listing,,Single Family Residential,178 Spring St,Lewiston,ME,04240,224900,2,1.0,Lewiston,1248,4356,1948,2,180,,Active,,,https://www.redfin.com/ME/Lewiston/178-Spring-St-04240/home/100193958,MREIS,1577912,N,Y,44.1082345,-70.2140407
