SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,10 E Oxford Rd,Paris,ME,04281,310000,3,2.0,Paris,1357,29620,2017,1,228,,Active,,,https://www.redfin.com/ME/South-Paris/10-E-Oxford-Rd-04281/home/113966543,MREIS,1577410,N,Y,44.2197118,-70.4991341
MLS Listing,,Single Family Residential,4 Sophia's Way,Norway,ME,04268,359900,3,2.0,Norway,1342,54885,2023,1,268,,Active,,,https://www.redfin.com/ME/Norway/4-Sophia-s-WAY-04268/home/188675706,MREIS,1578025,N,Y,44.2112843,-70.5394784
MLS Listing,,Single Family Residential,184 Granite St,Mexico,ME,04257,115000,2,1.5,Mexico,770,4791,1910,1,149,,Active,,,https://www.redfin.com/ME/Mexico/184-Granite-St-04257/home/100078881,MREIS,1578023,N,Y,44.550479,-70.531725
MLS Listing,,Single Family Residential,220 Rollins Ridge Rd,Dixfield,ME,04224,319000,2,1.0,Dixfield,1198,239580,2022,1,266,,Active,,,https://www.redfin.com/ME/Dixfield/220-Rollins-Ridge-Rd-04224/home/97660213,MREIS,1578019,N,Y,44.55407,-70.317907
MLS Listing,,Vacant Land,Lot 62 Bird Hl,Bethel,ME,04217,59900,,,Bethel,,22215,,1,,,Active,,,https://www.redfin.com/ME/Bethel/Lot-62-Bird-HL-04217/home/188659303,MREIS,1577996,N,Y,44.3672557,-70.8425616
MLS Listing,,Single Family Residential,7 Silver Way,Oxford,ME,04270,305000,2,1.0,Oxford,1120,62726,2021,1,272,,Active,,,https://www.redfin.com/ME/Oxford/7-Silver-Way-04270/home/175551854,MREIS,1577969,N,Y,44.1755,-70.5349
MLS Listing,,Vacant Land,Lot 17 Flat Rd,Bethel,ME,04217,31500,,,Bethel,,24393,,1,,,Active,,,https://www.redfin.com/ME/Bethel/17-Flat-Rd-04217/home/100063070,MREIS,1577954,N,Y,44.4007999,-70.8606553
MLS Listing,,Single Family Residential,25 Green St,Norway,ME,04268,289900,4,1.0,Norway,2340,9583,1920,1,124,,Active,,,https://www.redfin.com/ME/Norway/25-Green-St-04268/home/100070208,MREIS,1577796,N,Y,44.210463,-70.5306341
MLS Listing,,Single Family Residential,15 Crimson Leaf Dr,Denmark,ME,04022,349000,4,1.5,Denmark,1772,100623,1970,2,197,,Active,,,https://www.redfin.com/ME/Denmark/15-Crimson-Leaf-Dr-04022/home/100060569,MREIS,1577916,N,Y,43.9835643,-70.786413
MLS Listing,,Vacant Land,57 Glades View Ave,Newry,ME,04261,275000,,,Newry,,264844,,2,,142,Active,,,https://www.redfin.com/ME/Newry/57-Glades-View-Ave-04261/home/182162355,MREIS,1577915,N,Y,44.5282591,-70.804813
MLS Listing,,Vacant Land,55 Glades View Ave,Newry,ME,04261,245000,,,Newry,,236095,,2,,142,Active,,,https://www.redfin.com/ME/Newry/55-Glades-View-Ave-04261/home/181866829,MREIS,1577908,N,Y,44.5282591,-70.804813
MLS Listing,,Vacant Land,0 Vinton Rd,Lovell,ME,04051,80000,,,Lovell,,304920,,2,,,Active,,,https://www.redfin.com/ME/Lovell/0-Vinton-Rd-04051/home/188641008,MREIS,1577909,N,Y,44.203916,-70.9036973
MLS Listing,,Vacant Land,56 Glades View Ave,Newry,ME,04261,225000,,,Newry,,221284,,2,,142,Active,,,https://www.redfin.com/ME/Newry/56-Glades-View-Ave-04261/home/181955095,MREIS,1577913,N,Y,44.5282591,-70.804813
MLS Listing,,Vacant Land,0 Foxboro Rd,Lovell,ME,04051,60000,,,Lovell,,174240,,2,,,Active,,,https://www.redfin.com/ME/Lovell/0-Foxboro-Rd-04051/home/188440188,MREIS,1577900,N,Y,44.1861814,-70.9198601
MLS Listing,,Condo/Co-op,376 Skiway Rd #312,Newry,ME,04261,650000,2,1.0,Newry,810,,1987,2,802,660,Active,,,https://www.redfin.com/ME/Newry/376-Skiway-Rd-04261/unit-312/home/100151156,MREIS,1577831,N,Y,44.4732891,-70.864086
MLS Listing,,Vacant Land,Lot29 Back Bryant Rd,Buckfield,ME,04220,96500,,,Buckfield,,1263240,,4,,,Active,,,https://www.redfin.com/ME/Buckfield/Lot29-Back-Bryant-Rd-04220/home/188463895,MREIS,1576762,N,Y,44.2765563,-70.3173275
