SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Vacant Land,12-6 Hardwood Ridge Rd,Deblois,ME,04622,29000,,,Deblois,,435600,,2,,,Active,,,https://www.redfin.com/ME/Deblois/12-Hardwood-Ridge-Rd-04622/home/188636619,MREIS,1577881,N,Y,44.7382791,-67.9478045
MLS Listing,,Vacant Land,12-2 Eleanor Mae Rd,Deblois,ME,04622,33000,,,Deblois,,435600,,2,,,Active,,,https://www.redfin.com/ME/Deblois/12-12-Eleanor-Mae-Rd-04622/home/188636617,MREIS,1577880,N,Y,44.7384622,-67.9603413
MLS Listing,,Vacant Land,12-7 Hardwood Ridge Rd,Deblois,ME,04622,29000,,,Deblois,,435600,,2,,,Active,,,https://www.redfin.com/ME/Deblois/12-Hardwood-Ridge-Rd-04622/home/188636615,MREIS,1577879,N,Y,44.7382791,-67.9478045
MLS Listing,,Single Family Residential,36 Lievens Ln,Machias,ME,04654,246000,3,2.0,Machias,1757,304920,1990,3,140,,Active,,,https://www.redfin.com/ME/Machias/36-Lievens-Ln-04654/home/100098856,MREIS,1577805,N,Y,44.6527254,-67.4486206
MLS Listing,,Single Family Residential,461 Sandy Beach Rd,Danforth,ME,04424,119500,3,,Danforth,512,53578,1994,4,233,8,Active,,,https://www.redfin.com/ME/Danforth/461-Sandy-Beach-Rd-04424/home/188610110,MREIS,1577793,N,Y,45.654524,-67.752359
MLS Listing,,Single Family Residential,26 School St,Princeton,ME,04668,105000,1,1.0,Princeton,468,39639,2013,4,224,,Active,,,https://www.redfin.com/ME/Princeton/26-School-St-04668/home/100353606,MREIS,1577792,N,Y,45.221966,-67.572723
MLS Listing,,Vacant Land,Lot 9-PART Rt 190 Rd,Eastport,ME,04631,79000,,,Eastport,,43560,,4,,,Active,,,https://www.redfin.com/ME/Eastport/Lot-9-PART-State-Route-190-04631/home/188609630,MREIS,1577783,N,Y,44.9125876,-66.9997855
MLS Listing,,Vacant Land,20 Cottage Rd,East Machias,ME,04630,150000,,,East Machias,,2341785,,5,,,Active,,,https://www.redfin.com/ME/East-Machias/20-Cottage-Rd-04630/home/188639348,MREIS,1577762,N,Y,44.7690607,-67.3895041
MLS Listing,,Vacant Land,290 Cutler Rd,East Machias,ME,04630,26000,,,East Machias,,21780,,5,,,Active,,,https://www.redfin.com/ME/East-Machias/290-Cutler-Rd-04630/home/188596752,MREIS,1577677,N,Y,44.7227542,-67.3793098
MLS Listing,,Single Family Residential,254 Alleys Bay Rd,Beals,ME,04611,799000,3,2.5,Beals,1912,21780,2013,5,418,,Active,,,https://www.redfin.com/ME/Beals/254-Alleys-Bay-Rd-Unknown/home/178742082,MREIS,1577659,N,Y,44.5163332,-67.5840008
