SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1801 Post Rd #195,Wells,ME,04090,335151,2,2.0,Wells,956,435,1986,13,351,315,Active,,,https://www.redfin.com/ME/Wells/1801-Post-Rd-04090/unit-195/home/100053598,MREIS,1577056,N,Y,43.3282092,-70.5733792
MLS Listing,,Single Family Residential,1 Crestview Ln,Kennebunkport,ME,04046,1075000,4,3.5,Kennebunkport,3653,45302,1994,22,294,,Active,,,https://www.redfin.com/ME/Kennebunkport/1-Crestview-Ln-04046/home/100020776,MREIS,1576302,N,Y,43.3586527,-70.4603574
MLS Listing,,Condo/Co-op,6 Sidetrack Ln #6,Sanford,ME,04083,347500,3,2.5,Sanford,1665,499633,2008,41,209,125,Active,,,https://www.redfin.com/ME/Springvale/6-Sidetrack-Ln-04083/unit-6/home/187980684,MREIS,1574637,N,Y,43.464251,-70.7849415
MLS Listing,,Single Family Residential,5 Roberts Pond Rd,Lyman,ME,04002,699000,2,3.5,Lyman,3132,723967,2006,61,223,,Active,,,https://www.redfin.com/ME/Lyman/5-Roberts-Pond-Rd-04002/home/97657399,MREIS,1572138,N,Y,43.5406997,-70.6471195
MLS Listing,,Condo/Co-op,16 Salt Point Dr #16,Old Orchard Beach,ME,04064,650000,2,2.5,Old Orchard Beach,1224,87120,2024,1,531,370,Active,,,https://www.redfin.com/ME/OLD-ORCHD-BCH/16-Salt-Point-DR-04064/unit-16/home/188681081,MREIS,1578044,N,Y,43.5228339,-70.3910773
MLS Listing,,Vacant Land,228 Upper Middle Rd,Lebanon,ME,04027,199000,,,Lebanon,,958320,,1,,,Active,,,https://www.redfin.com/ME/Lebanon/228-Upper-Middle-Rd-04027/home/97618098,PrimeMLS,4978505,N,Y,43.438464,-70.865498
MLS Listing,,Single Family Residential,Map R8/36a Harry Howes Rd,Sanford,ME,04073,450000,3,2.0,Sanford,1430,43560,2023,1,315,,Active,,,https://www.redfin.com/ME/Sanford/Map-R8-36a-Harry-Howes-Rd-04073/home/188674141,MREIS,1578016,N,Y,43.4424155,-70.8065152
MLS Listing,,Single Family Residential,77 Tapley Rd,Saco,ME,04072,535000,3,2.0,Saco,2132,158994,1985,1,251,,Active,,,https://www.redfin.com/ME/Saco/77-Tapley-Rd-04072/home/107076333,MREIS,1578017,N,Y,43.6045554,-70.4931249
MLS Listing,,Single Family Residential,10 Kent St,Sanford,ME,04073,249900,3,1.0,Sanford,1544,4791,1917,1,162,,Active,,,https://www.redfin.com/ME/Sanford/10-Kent-St-04073/home/100180527,MREIS,1578013,N,Y,43.4294162,-70.7674492
MLS Listing,,Condo/Co-op,8 Oceanside Ave #4,York,ME,03909,569000,2,1.0,York,630,,2006,1,903,292,Active,November-25-2023 10:00 AM,November-25-2023 12:00 PM,https://www.redfin.com/ME/York/8-Oceanside-Ave-03909/unit-4/home/96522166,PrimeMLS,4978455,N,Y,43.1643493,-70.6196797
