SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,15 Wells Village Rd,Sandown,NH,03873,739900,4,3.5,Sandown,4097,50093,1983,34,181,,Active,,,https://www.redfin.com/NH/Sandown/15-Wells-Village-Rd-03873/home/108631789,PrimeMLS,4974856,N,Y,42.9260629,-71.2013612
MLS Listing,,Single Family Residential,6 Quaker Ln,Seabrook,NH,03874,789900,4,4.0,Seabrook,3900,31363,1999,34,203,,Active,,,https://www.redfin.com/NH/Seabrook/6-Quaker-Ln-03874/home/103035921,PrimeMLS,4974756,N,Y,42.8766184,-70.8625115
MLS Listing,,Single Family Residential,3 Evergreen Way,East Kingston,NH,03827,925500,4,2.5,East Kingston,4801,98881,1994,104,193,,Active,,,https://www.redfin.com/NH/East-Kingston/3-Evergreen-Way-03827/home/88169388,PrimeMLS,4965067,N,Y,42.9475449,-71.0043902
MLS Listing,,Condo/Co-op,49 Stephen C Savage Way Unit 5,Plaistow,NH,03865,730000,3,2.5,Plaistow,2134,,2023,1,342,262,Active,,,https://www.redfin.com/NH/Plaistow/49-Stephen-C-Savage-WAY-03865/unit-5/home/188680721,PrimeMLS,4978509,N,Y,42.83782331499944,-71.09151843383788
MLS Listing,,Multi-Family (5+ Unit),74 Railroad Ave,Epping,NH,03042,975000,10,6.0,Epping,4740,36154,1883,1,206,,Active,,,https://www.redfin.com/NH/Epping/74-Railroad-Ave-03042/home/88333370,PrimeMLS,4978466,N,Y,43.0329782,-71.074244
MLS Listing,,Single Family Residential,7 oakwood Rd,Windham,NH,03087,609000,4,2.5,Windham,1824,43560,1978,1,334,,Active,,,https://www.redfin.com/NH/Windham/7-Oakwood-Rd-03087/home/108620914,PrimeMLS,4978461,N,Y,42.8393053,-71.3381566
MLS Listing,,Multi-Family (5+ Unit),160-164 Front St,Exeter,NH,03833,850000,,5.0,Exeter,3586,6534,1900,1,237,,Active,,,https://www.redfin.com/NH/Exeter/160-Front-St-03833/home/88120721,PrimeMLS,4978459,N,Y,42.978899,-70.961945
MLS Listing,,Single Family Residential,41 Mockingbird Hill Rd,Windham,NH,03087,1049000,3,3.0,Windham,3126,43996,2001,1,336,,Active,November-25-2023 11:00 AM,November-25-2023 01:00 PM,https://www.redfin.com/NH/Windham/41-Mockingbird-Hill-Rd-03087/home/96542508,MLS PIN,73182276,N,Y,42.8243485,-71.2767718
MLS Listing,,Single Family Residential,17 Compromise Ln,Sandown,NH,03873,595000,4,2.5,Sandown,2346,33976,2001,1,254,,Active,,,https://www.redfin.com/NH/Sandown/17-Compromise-Ln-03873/home/96468325,PrimeMLS,4978450,N,Y,42.9591103,-71.1685007
MLS Listing,,Single Family Residential,18 & 20 Maple Ave,Hampstead,NH,03841,634900,3,3.0,Hampstead,2915,44866,1970,1,218,,Active,,,https://www.redfin.com/NH/Hampstead/18-Maple-Ave-03841/home/88198556,PrimeMLS,4978443,N,Y,42.8584559,-71.143221
