SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,18 Winter St,Topsham,ME,04086,375000,3,1.5,Topsham,1995,31798,1800,1,188,,Active,,,https://www.redfin.com/ME/Topsham/18-Winter-St-04086/home/85252473,MREIS,1577980,N,Y,43.9248804,-69.9664525
MLS Listing,,Single Family Residential,788 High St,Bath,ME,04530,695000,5,2.5,Bath,3363,16552,1824,1,207,,Active,,,https://www.redfin.com/ME/Bath/788-High-St-04530/home/100235980,MREIS,1577886,N,Y,43.9127526,-69.8200881
MLS Listing,,Single Family Residential,22 Turkey Run,Topsham,ME,04086,928000,3,2.5,Topsham,2538,95396,2023,1,366,,Active,,,https://www.redfin.com/ME/Topsham/22-Turkey-Run-04086/home/100362081,MREIS,1577981,N,Y,43.9620854,-69.9867941
MLS Listing,,Single Family Residential,66 High St,Bath,ME,04530,325000,4,1.5,Bath,1311,13068,1840,1,248,,Active,,,https://www.redfin.com/ME/Bath/66-High-St-04530/home/100238265,MREIS,1577937,N,Y,43.880549,-69.8231975
MLS Listing,,Vacant Land,Lot 8 US Route 1 (Wood Lot Drive),West Bath,ME,04530,50000,,,West Bath,,1019303,,2,,,Active,,,https://www.redfin.com/ME/West-Bath/Lot-8-Wood-Lot-Dr-04530/home/188641006,MREIS,1577905,N,Y,43.907901,-69.8545559
MLS Listing,,Single Family Residential,104 Starbird Corner Rd,Bowdoin,ME,04287,475000,3,2.0,Bowdoin,1920,435600,1992,2,247,,Active,,,https://www.redfin.com/ME/Bowdoin/104-Starbird-Corner-Rd-04287/home/97725534,MREIS,1577655,N,Y,44.0890246,-69.9797108
MLS Listing,,Single Family Residential,545 Meadow Rd,Topsham,ME,04086,385500,3,1.0,Topsham,1878,52272,1978,4,205,,Active,,,https://www.redfin.com/ME/Topsham/545-Meadow-Rd-04086/home/100360585,MREIS,1577785,N,Y,43.9873339,-69.9839198
MLS Listing,,Multi-Family (2-4 Unit),18 Weymouth St,Richmond,ME,04357,215000,2,2.0,Richmond,1482,4356,1855,5,145,,Active,,,https://www.redfin.com/ME/Richmond/18-Weymouth-St-04357/home/100220855,MREIS,1577713,N,Y,44.0873638,-69.8018231
MLS Listing,,Single Family Residential,481 Main St,Richmond,ME,04357,859900,3,1.5,Richmond,1197,1742400,1971,6,718,,Active,,,https://www.redfin.com/ME/Richmond/481-Main-St-04357/home/100219920,MREIS,1577657,N,Y,44.099147,-69.842358
MLS Listing,,Single Family Residential,219 Toothaker Rd,Richmond,ME,04357,520000,3,2.0,Richmond,2880,126324,2007,6,181,,Active,November-25-2023 01:00 PM,November-25-2023 03:00 PM,https://www.redfin.com/ME/Richmond/219-Toothaker-Rd-04357/home/100220113,MREIS,1577644,N,Y,44.1465442,-69.8672057
MLS Listing,,Single Family Residential,780 Carding Machine Road Rd,Bowdoinham,ME,04008,315000,4,2.0,Bowdoinham,1300,1176120,1995,6,242,,Active,,,https://www.redfin.com/ME/Bowdoinham/780-Carding-Machine-Rd-04008/home/100103629,MREIS,1577624,N,Y,44.0830046,-69.8328734
MLS Listing,,Single Family Residential,1288 Litchfield Rd,Bowdoin,ME,04287,215000,4,2.0,Bowdoin,2000,261360,1950,6,108,,Active,,,https://www.redfin.com/ME/Bowdoin/1288-Litchfield-Rd-04287/home/97725306,MREIS,1577588,N,Y,44.1211519,-69.9850875
MLS Listing,,Single Family Residential,8 Maple St,Bath,ME,04530,249900,2,2.0,Bath,1136,5227,1850,6,220,,Active,,,https://www.redfin.com/ME/Bath/8-Maple-St-04530/home/100236538,MREIS,1577567,N,Y,43.9140914,-69.8209333
MLS Listing,,Single Family Residential,133 Phipps Point Rd,Woolwich,ME,04579,529000,3,2.0,Woolwich,1281,91476,2019,6,413,,Active,,,https://www.redfin.com/ME/Woolwich/133-Phipps-Point-Rd-04579/home/100157378,MREIS,1577228,N,Y,43.916718,-69.735114
MLS Listing,,Single Family Residential,9 Pinewood Dr,Topsham,ME,04086,279000,2,1.0,Topsham,925,10018,1959,8,302,,Active,,,https://www.redfin.com/ME/Topsham/9-Pinewood-Dr-04086/home/100358400,MREIS,1577404,N,Y,43.9230402,-69.947229
MLS Listing,,Single Family Residential,370 Main St,Richmond,ME,04357,175000,3,1.0,Richmond,1316,83199,1972,8,133,,Active,,,https://www.redfin.com/ME/Richmond/370-Main-St-04357/home/100220252,MREIS,1577388,N,Y,44.0924423,-69.8340185
MLS Listing,,Vacant Land,Lot 3A George Wright Rd,Woolwich,ME,04579,75000,,,Woolwich,,52272,,13,,,Active,,,https://www.redfin.com/ME/Woolwich/3-George-Wright-Rd-04579/home/188520032,MREIS,1577107,N,Y,43.9246557,-69.7929022
MLS Listing,,Single Family Residential,13 Lincoln St,Richmond,ME,04357,289000,5,2.0,Richmond,1780,6098,1870,14,162,,Active,,,https://www.redfin.com/ME/Richmond/13-Lincoln-St-04357/home/66721409,MREIS,1577013,N,Y,44.0919177,-69.7960902
