SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,49 Nacomia Dr,Madison,NH,03849,674900,4,2.5,Madison,5037,186436,2007,28,134,,Active,,,https://www.redfin.com/NH/Madison/49-Nacomia-Dr-03849/home/88270792,PrimeMLS,4975565,N,Y,43.925424,-71.149882
MLS Listing,,Condo/Co-op,4 Hickory Rd,Wolfeboro,NH,03894,609000,3,2.0,Wolfeboro,1850,,1991,29,329,520,Active,,,https://www.redfin.com/NH/Wolfeboro/4-Hickory-Rd-03894/home/88070373,PrimeMLS,4975398,N,Y,43.591625,-71.2425918
MLS Listing,,Single Family Residential,95 Mechanic St,Conway,NH,03860,399900,2,1.0,Conway,916,265628880,2019,1,437,,Active,,,https://www.redfin.com/NH/North-Conway/95-Mechanic-St-03860/home/96479611,PrimeMLS,4978513,N,Y,44.0539783,-71.1246968
MLS Listing,,Vacant Land,0 Doc Morrison Rd,Wakefield,NH,03872,259900,,,Wakefield,,7405,,1,,,Active,,,https://www.redfin.com/NH/Wakefield/0-Doc-Morrison-RD-03872/home/188679931,PrimeMLS,4978503,N,Y,43.576200000001,-71.0297
MLS Listing,,Single Family Residential,21 Tupeck Ln,Tuftonboro,NH,03816,385000,3,1.0,Tuftonboro,1288,44866,1984,1,299,,Active,,,https://www.redfin.com/NH/Center-Tuftonboro/21-Tupeck-Ln-03816/home/88221798,PrimeMLS,4978500,N,Y,43.662984,-71.2389782
MLS Listing,,Condo/Co-op,2C Emery Ln,Bartlett,NH,03845,199000,2,1.0,Bartlett,752,,1973,1,265,200,Active,,,https://www.redfin.com/NH/Intervale/2-Emery-Ln-03845/home/188677156,PrimeMLS,4978492,N,Y,44.1057798,-71.1442578
MLS Listing,,Vacant Land,Map R2 Lot 38B Whittier Hwy,Sandwich,NH,03227,399000,,,Sandwich,,1685772,,1,,,Active,,,https://www.redfin.com/NH/Sandwich/Map-R2-Lot-38B-Whittier-HWY-03227/home/186442995,PrimeMLS,4978490,N,Y,43.82298013920662,-71.34521056260026
MLS Listing,,Single Family Residential,24 S Chocorua River Dr,Tamworth,NH,03886,385000,3,2.5,Tamworth,1742,50529,1971,1,221,31,Active,,,https://www.redfin.com/NH/Tamworth/24-S-Chocorua-River-DR-03886/home/188675252,PrimeMLS,4978482,N,Y,43.8546409455023,-71.2026887976227
MLS Listing,,Single Family Residential,23 Beechwoods at Intervale Rd #23,Bartlett,NH,03812,549000,3,2.5,Bartlett,1687,,2018,1,325,,Active,,,https://www.redfin.com/NH/Bartlett/23-Beechwoods-at-Intervale-Rd-03812/unit-23/home/188674890,PrimeMLS,4978478,N,Y,44.10662,-71.151803
MLS Listing,,Vacant Land,3057 Chinook Trl,Tamworth,NH,03886,70000,,,Tamworth,,44866,,1,,,Active,,,https://www.redfin.com/NH/Tamworth/3057-Chinook-Trl-03886/home/103008482,PrimeMLS,4978453,N,Y,43.908437,-71.335405
MLS Listing,,Single Family Residential,950 Whittier Hwy,Moultonborough,NH,03254,599000,3,1.0,Moultonborough,2144,37026,1900,1,279,,Active,,,https://www.redfin.com/NH/Moultonborough/950-Whittier-Hwy-03254/home/103719543,PrimeMLS,4978431,N,Y,43.751366,-71.3997891
MLS Listing,,Single Family Residential,2548 White Mountain Hwy,Conway,NH,03860,695000,4,2.5,Conway,1956,6969,1920,1,355,,Active,,,https://www.redfin.com/NH/North-Conway/2548-White-Mountain-Hwy-03860/home/184925640,PrimeMLS,4978391,N,Y,44.049478,-71.125293
MLS Listing,,Single Family Residential,41 St. Gallen St,Moultonborough,NH,03254,595000,3,2.0,Moultonborough,1932,23522,1990,1,308,95,Active,November-26-2023 11:00 AM,November-26-2023 02:00 PM,https://www.redfin.com/NH/Moultonborough/41-Saint-Gallen-St-03254/home/96639789,PrimeMLS,4978375,N,Y,43.7228698,-71.3707766
