SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Vacant Land,74 Buchanan Cir,Washington,NH,03280,185000,,,Washington,,113691,,46,,,Active,,,https://www.redfin.com/NH/Washington/74-Buchanan-Cir-03280/unit-38-Map-14/home/188186067,PrimeMLS,4973290,N,Y,43.16248,-72.14060429
MLS Listing,,Single Family Residential,12 Walnut St,Claremont,NH,03743,179900,3,1.5,Claremont,1321,4356,1910,1,136,,Active,,,https://www.redfin.com/NH/Claremont/12-Walnut-St-03743/home/108652467,PrimeMLS,4978484,N,Y,43.3724845,-72.3413223
MLS Listing,,Multi-Family (2-4 Unit),6 Charles St,Claremont,NH,03743,224900,4,2.0,Claremont,2160,6969,1930,2,104,,Active,,,https://www.redfin.com/NH/Claremont/6-Charles-St-03743/home/108652671,PrimeMLS,4978275,N,Y,43.3632608,-72.344548
MLS Listing,,Vacant Land,0 Acworth Rd,Charlestown,NH,03603,89000,,,Charlestown,,522720,,2,,,Active,,,https://www.redfin.com/NH/Charlestown/0-Acworth-Rd-03603/home/188630382,PrimeMLS,4978235,N,Y,43.2458014,-72.4116056
MLS Listing,,Single Family Residential,82 Cross Pl,Springfield,NH,03284,295000,4,1.0,Springfield,2160,104544,1902,2,137,,Active,,,https://www.redfin.com/NH/Springfield/82-Cross-Pl-03284/home/88239517,PrimeMLS,4978224,N,Y,43.501373,-72.0755213
MLS Listing,,Vacant Land,186 Breakneck Hill Rd,Charlestown,NH,03603,30000,,,Charlestown,,142876,,3,,,Active,,,https://www.redfin.com/NH/Charlestown/186-Breakneck-Hill-Rd-03603/home/103046062,PrimeMLS,4978196,N,Y,43.229706,-72.413529
MLS Listing,,Single Family Residential,4 Lucinda Circle Way #2,Newport,NH,03773,319000,3,2.0,Newport,1803,33541,2005,4,177,,Active,November-25-2023 11:00 AM,November-25-2023 01:00 PM,https://www.redfin.com/NH/Newport/4-Lucinda-Circle-Way-03773/unit-2/home/188608395,PrimeMLS,4978155,N,Y,43.3365709,-72.1739842
MLS Listing,,Vacant Land,126 Top Of The World Rd,Grantham,NH,03753,149900,,,Grantham,,251776,,5,,,Active,,,https://www.redfin.com/NH/Grantham/126-Top-Of-The-World-RD-03753/home/188600773,PrimeMLS,4978122,N,Y,43.518753,-72.14965713491821
MLS Listing,,Vacant Land,179 Hanover St,Claremont,NH,03743,49900,,,Claremont,,10454,,7,,,Active,,,https://www.redfin.com/NH/Claremont/179-Hanover-St-03743/home/109861413,PrimeMLS,4977854,N,Y,43.383943,-72.339617
MLS Listing,,Single Family Residential,5 Schoolhouse Rd,Newport,NH,03773,749000,8,8.5,Newport,9349,217800,1767,7,80,,Active,,,https://www.redfin.com/NH/Newport/5-Schoolhouse-Rd-03773/home/63513273,PrimeMLS,4977837,N,Y,43.348932,-72.1524888
