SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,648 Quincy Rd,Rumney,NH,03266,649900,3,1.5,Rumney,2247,87120,1973,20,289,,Active,,,https://www.redfin.com/NH/Rumney/648-Quincy-Rd-03266/home/87927045,PrimeMLS,4976538,N,Y,43.797278,-71.7926449
MLS Listing,,Single Family Residential,2382 NH-118,Dorchester,NH,03266,550000,4,2.0,Dorchester,2352,242629,1977,1,234,,Active,November-26-2023 11:00 AM,November-26-2023 02:00 PM,https://www.redfin.com/NH/Dorchester/2382-NH-Route-118-03266/home/88182943,PrimeMLS,4978448,N,Y,43.7177112,-71.9570249
MLS Listing,,Condo/Co-op,3 Pine Tree Way #36,Waterville Valley,NH,03215,327500,2,1.5,Waterville Valley,1074,,1983,1,305,242,Active,,,https://www.redfin.com/NH/Waterville-Valley/3-Pine-Tree-Way-03215/unit-36/home/88128826,PrimeMLS,4978423,N,Y,43.9476669,-71.5090379
MLS Listing,,Single Family Residential,71 Howe Rd,Holderness,NH,03245,799800,3,3.0,Holderness,4251,169884,1987,1,188,,Active,November-25-2023 12:00 PM,November-25-2023 02:00 PM,https://www.redfin.com/NH/Holderness/71-Howe-Rd-03245/home/88227302,PrimeMLS,4978418,N,Y,43.7277539,-71.6136609
MLS Listing,,Vacant Land,N Groton Rd #2,Groton,NH,03241,39900,,,Groton,,230868,,1,,,Active,,,https://www.redfin.com/NH/Hebron/2-Groton-Rd-03241/unit-2/home/63529159,PrimeMLS,4978354,N,Y,43.6944272,-71.8074445
MLS Listing,,Vacant Land,00 Canaan St #8,Canaan,NH,03741,509000,,,Canaan,,229561,,1,,,Active,,,https://www.redfin.com/NH/Canaan/0-Canaan-St-03741/unit-8/home/188647770,PrimeMLS,4978349,N,Y,43.6468429,-72.011854
MLS Listing,,Vacant Land,32 Yellow Birch Cir,Lincoln,NH,03251,495000,,,Lincoln,,17859,,1,,,Active,,,https://www.redfin.com/NH/Lincoln/32-Yellow-Birch-Cir-03251/home/103427046,PrimeMLS,4978346,N,Y,44.049179,-71.650475
MLS Listing,,Vacant Land,00 Canaan St #7,Canaan,NH,03741,509000,,,Canaan,,233045,,1,,,Active,,,https://www.redfin.com/NH/Canaan/0-Canaan-St-03741/unit-7/home/188647731,PrimeMLS,4978342,N,Y,43.6468429,-72.011854
MLS Listing,,Vacant Land,44 Crooked Mountain Rd,Lincoln,NH,03251,595000,,,Lincoln,,33541,,1,,,Active,,,https://www.redfin.com/NH/Lincoln/44-Crooked-Mtn-Rd-03251/home/63531341,PrimeMLS,4978341,N,Y,44.0489869,-71.649935
MLS Listing,,Vacant Land,00 Corno Rd #6,Canaan,NH,03741,459000,,,Canaan,,219106,,1,,,Active,,,https://www.redfin.com/NH/Canaan/0-Corno-Rd-03741/unit-6/home/188647667,PrimeMLS,4978337,N,Y,43.6622626,-72.0281799
MLS Listing,,Vacant Land,00 Corno Rd #5,Canaan,NH,03741,395000,,,Canaan,,186436,,1,,,Active,,,https://www.redfin.com/NH/Canaan/0-Corno-Rd-03741/unit-5/home/188647640,PrimeMLS,4978336,N,Y,43.6622626,-72.0281799
MLS Listing,,Vacant Land,00 Corno Rd #4,Canaan,NH,03741,239000,,,Canaan,,111949,,1,,,Active,,,https://www.redfin.com/NH/Canaan/0-Corno-Rd-03741/unit-4/home/188647625,PrimeMLS,4978333,N,Y,43.6622626,-72.0281799
