SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,552 Coolidge Woods Rd,New Hampton,NH,03256,489900,3,2.5,New Hampton,2048,219978,2007,1,239,,Active,,,https://www.redfin.com/NH/New-Hampton/552-Coolidge-Woods-Rd-03256/home/174022959,PrimeMLS,4978495,N,Y,43.563082,-71.713836
MLS Listing,,Condo/Co-op,850 Laconia Rd Unit 4H,Tilton,NH,03276,399000,2,1.0,Tilton,947,,1960,1,421,306,Active,,,https://www.redfin.com/NH/Tilton/850-Laconia-Rd-03276/unit-4H/home/88159332,PrimeMLS,4978468,N,Y,43.4939245,-71.5225702
MLS Listing,,Condo/Co-op,107 Treetop Cir #23,Laconia,NH,03246,319000,2,2.0,Laconia,848,,1974,1,376,335,Active,,,https://www.redfin.com/NH/Laconia/107-Treetop-Cir-03246/unit-23/home/103710825,MLS PIN,73182251,N,Y,43.609884,-71.466131
MLS Listing,,Single Family Residential,19 Winter St,Belmont,NH,03220,80000,2,1.0,Belmont,684,,1973,1,117,,Active,,,https://www.redfin.com/NH/Belmont/19-Winter-St-03220/home/88310654,PrimeMLS,4978436,N,Y,43.5031319,-71.4671366
MLS Listing,,Townhouse,41 Manchester St,Laconia,NH,03246,299000,3,1.0,Laconia,1650,,1922,1,181,,Active,,,https://www.redfin.com/NH/Laconia/41-Manchester-St-03246/home/96673609,PrimeMLS,4978433,N,Y,43.547515,-71.4588032
MLS Listing,,Single Family Residential,2870 Parade Rd,Laconia,NH,03246,389000,3,1.0,Laconia,1144,84506,1950,1,340,,Active,,,https://www.redfin.com/NH/Laconia/2870-Parade-Rd-03246/home/69444163,PrimeMLS,4978424,N,Y,43.597396,-71.497168
MLS Listing,,Single Family Residential,153 High Haith Rd,Center Harbor,NH,03226,625000,3,2.0,Center Harbor,1752,270072,1985,1,357,,Active,December-2-2023 10:00 AM,December-2-2023 12:00 PM,https://www.redfin.com/NH/Center-Harbor/153-High-Haith-Rd-03226/home/108632100,PrimeMLS,4978422,N,Y,43.728371,-71.488932
MLS Listing,,Single Family Residential,85 Old Hubbard Rd,Meredith,NH,03253,5500000,4,4.5,Meredith,5450,25264,2023,1,1009,,Active,,,https://www.redfin.com/NH/Meredith/85-Old-Hubbard-Rd-03253/home/96580873,PrimeMLS,4978421,N,Y,43.639672,-71.440417
MLS Listing,,Moorage,2 Bayshore Dr #54,Meredith,NH,03253,130000,,,Meredith,,,,1,,106,Active,,,https://www.redfin.com/NH/Meredith/54-Bayshore-Yacht-Club-U-054-03253/unit-54/home/63533287,PrimeMLS,4978408,N,Y,43.65165563326066,-71.49590480356598
MLS Listing,,Vacant Land,53 Willow Rd,Sanbornton,NH,03269,135000,,,Sanbornton,,224769,,1,,,Active,,,https://www.redfin.com/NH/Sanbornton/53-Willow-Rd-03269/home/88130118,PrimeMLS,4978323,N,Y,43.496265,-71.6209779
MLS Listing,,Condo/Co-op,22 Prides Point Way,Laconia,NH,03246,1099999,5,3.0,Laconia,3130,,2009,1,351,520,Active,,,https://www.redfin.com/NH/Laconia/22-Prides-Point-Way-03246/home/103710564,PrimeMLS,4978313,N,Y,43.5836171,-71.4723642
MLS Listing,,Single Family Residential,20 Church St,Tilton,NH,03276,449900,3,2.5,Tilton,2109,61855,1919,2,213,,Active,,,https://www.redfin.com/NH/Tilton/20-Church-St-03276/home/88160755,PrimeMLS,4978301,N,Y,43.4793153,-71.5388494
MLS Listing,,Single Family Residential,58 Shore Dr,Laconia,NH,03246,2850000,5,3.5,Laconia,4156,34412,1941,2,686,,Active,,,https://www.redfin.com/NH/Laconia/58-Shore-Dr-03246/home/88115140,PrimeMLS,4978289,N,Y,43.531923,-71.4831245
MLS Listing,,Single Family Residential,59 Treetop Cir #412,Laconia,NH,03246,229000,2,2.0,Laconia,823,,1977,2,278,336,Active,,,https://www.redfin.com/NH/Laconia/59-Treetop-Cir-03246/unit-412/home/96504080,PrimeMLS,4978281,N,Y,43.6079779,-71.4653699
MLS Listing,,Single Family Residential,239 Dockham Shore Rd,Gilford,NH,03249,2300000,3,2.5,Gilford,2003,10890,2006,2,1148,,Active,November-25-2023 11:00 AM,November-25-2023 02:00 PM,https://www.redfin.com/NH/Gilford/239-Dockham-Shore-Rd-03249/home/108647717,PrimeMLS,4978277,N,Y,43.5959956,-71.4215189
MLS Listing,,Single Family Residential,103 Shingle Camp Hill Rd,New Hampton,NH,03256,449000,3,2.5,New Hampton,1290,114562,1986,2,348,,Active,,,https://www.redfin.com/NH/New-Hampton/103-Shingle-Camp-Hill-Rd-03256/home/174023349,PrimeMLS,4978266,N,Y,43.6116352,-71.6431818
MLS Listing,,Single Family Residential,24 Colonial Dr,Gilford,NH,03249,529900,3,2.5,Gilford,2600,24393,1973,2,204,,Active,November-25-2023 11:00 AM,November-25-2023 02:00 PM,https://www.redfin.com/NH/Gilford/24-Colonial-Dr-03249/home/96648820,PrimeMLS,4978207,N,Y,43.5399215,-71.442562
MLS Listing,,Single Family Residential,86 Smith Point Rd,Alton,NH,03810,3400000,3,3.5,Alton,3725,20473,1984,2,913,,Active,November-26-2023 12:00 PM,November-26-2023 02:00 PM,https://www.redfin.com/NH/Alton-Bay/86-Smith-Point-Rd-03810/home/88960914,PrimeMLS,4978206,N,Y,43.5535851,-71.3056563
MLS Listing,,Single Family Residential,6 White Birch Rd,Barnstead,NH,03225,325000,3,2.0,Barnstead,1456,20037,2022,3,223,25,Active,,,https://www.redfin.com/NH/Barnstead/6-White-Birch-Rd-03218/home/188620905,PrimeMLS,4978192,N,Y,43.3471552,-71.2792563
MLS Listing,,Single Family Residential,120 Parade Rd,Meredith,NH,03253,299000,2,1.0,Meredith,1048,54885,1850,4,285,,Active,,,https://www.redfin.com/NH/Meredith/120-Parade-Rd-03253/home/88186310,PrimeMLS,4978171,N,Y,43.6253318,-71.5038109
MLS Listing,,Condo/Co-op,1011 Weirs Blvd #2,Laconia,NH,03246,214900,2,1.0,Laconia,510,,1945,4,421,15,Active,,,https://www.redfin.com/NH/Laconia/1011-Weirs-Blvd-03246/unit-2/home/88115374,PrimeMLS,4978147,N,Y,43.5968628,-71.4575321
MLS Listing,,Single Family Residential,625 Crystal Lake Rd,Gilmanton,NH,03837,599999,3,2.0,Gilmanton,3413,87120,2006,4,176,,Active,November-25-2023 10:00 AM,November-25-2023 12:00 PM,https://www.redfin.com/NH/Gilmanton-Iron-Works/625-Crystal-Lake-Rd-03837/home/88040329,PrimeMLS,4978145,N,Y,43.4567262,-71.3191765
MLS Listing,,Condo/Co-op,131 Treetop Cir #22,Laconia,NH,03246,310000,2,2.0,Laconia,848,,1974,5,366,405,Active,,,https://www.redfin.com/NH/Laconia/131-Treetop-Cir-03246/unit-22/home/103710071,PrimeMLS,4978141,N,Y,43.609848,-71.467348
MLS Listing,,Townhouse,336 Intervale Rd Unit C2,Gilford,NH,03249,410000,3,2.5,Gilford,1376,,1992,5,298,275,Active,,,https://www.redfin.com/NH/Gilford/336-Intervale-Rd-03249/unit-C2/home/88238448,PrimeMLS,4978032,N,Y,43.575836,-71.401235
MLS Listing,,Multi-Family (2-4 Unit),43-45 Howard St,Laconia,NH,03246,359900,4,2.0,Laconia,1854,6969,1900,6,194,,Active,,,https://www.redfin.com/NH/Laconia/43-Howard-St-03246/home/88114271,PrimeMLS,4977992,N,Y,43.5316806,-71.4666276
MLS Listing,,Single Family Residential,65 Overland St,Laconia,NH,03246,350000,2,1.0,Laconia,1005,21344,1927,6,348,,Active,,,https://www.redfin.com/NH/Laconia/65-Overland-St-03246/home/79856113,PrimeMLS,4977938,N,Y,43.5168786,-71.462644
MLS Listing,,Condo/Co-op,118 Weirs Rd Unit G02,Gilford,NH,03249,249900,1,1.0,Gilford,480,,1988,7,521,397,Active,,,https://www.redfin.com/NH/Gilford/118-Weirs-Rd-03249/unit-G2/home/108648153,PrimeMLS,4977890,N,Y,43.5800336,-71.4112223
MLS Listing,,Single Family Residential,35 Sargent Lake Rd,Belmont,NH,03220,734999,3,1.5,Belmont,1980,12632,1988,8,371,6,Active,,,https://www.redfin.com/NH/Belmont/35-Sargent-Lake-Rd-03220/home/88311463,PrimeMLS,4977779,N,Y,43.4497985,-71.4386794
MLS Listing,,Single Family Residential,10 Lower Ladd Hill Rd,Meredith,NH,03253,399999,3,1.5,Meredith,1461,10454,1900,8,274,,Active,,,https://www.redfin.com/NH/Meredith/10-Lower-Ladd-Hill-Rd-03253/home/79107386,PrimeMLS,4977691,N,Y,43.6495301,-71.5007006
MLS Listing,,Single Family Residential,230 Alton Mountain Rd,Alton,NH,03810,850000,3,2.0,Alton,3351,218671,1979,9,254,,Active,,,https://www.redfin.com/NH/Alton-Bay/230-Alton-Mountain-Rd-03810/home/88292485,PrimeMLS,4977627,N,Y,43.48355,-71.26346
MLS Listing,,Vacant Land,70/61-63 Sunset Shore Dr,Alton,NH,03810,180000,,,Alton,,35283,,9,,,Active,,,https://www.redfin.com/NH/Alton-Bay/70-Sunset-Shore-Dr-03810/home/188553497,PrimeMLS,4977626,N,Y,43.4701858,-71.2947746
