,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,LATITUDE,LONGITUDE,LocationID,ACCESS2,ARTHRITIS,BINGE,BPHIGH,BPMED,CANCER,CASTHMA,CERVICAL,CHD,CHECKUP,CHOLSCREEN,COGNITION,COLON_SCREEN,COPD,COREM,COREW,CSMOKING,DENTAL,DEPRESSION,DIABETES,DISABILITY,GHLTH,HEARING,HIGHCHOL,INDEPLIVE,KIDNEY,LPA,MAMMOUSE,MHLTH,MOBILITY,OBESITY,PHLTH,SELFCARE,SLEEP,STROKE,TEETHLOST,VISION,Geolocation,TotalPopulation,PRICE_cat2,PROPERTY TYPE_Condo/Co-op,PROPERTY TYPE_Mobile/Manufactured Home,PROPERTY TYPE_Multi-Family (2-4 Unit),PROPERTY TYPE_Multi-Family (5+ Unit),PROPERTY TYPE_Single Family Residential,PROPERTY TYPE_Townhouse,STATE OR PROVINCE_ME,STATE OR PROVINCE_NH,STATE OR PROVINCE_VT
353,246000,3.0,2.0,1757.0,304920.0,1990.0,3,140.0,44.6527254,-67.4486206,4654.0,10.2,31.9,15.6,36.0,78.6,7.8,12.4,79.9,8.5,77.9,57.1,18.5,72.9,11.2,50.1,39.0,21.1,55.1,28.1,12.0,37.4,18.7,9.3,40.4,10.0,3.6,33.1,79.4,19.8,17.0,36.6,14.0,5.0,34.8,3.8,23.5,6.5,(-67.52323389 44.7504547),3424.0,Low,0,0,0,0,1,0,1,0,0
355,105000,1.0,1.0,468.0,39639.0,2013.0,4,224.0,45.221966,-67.572723,4668.0,11.8,31.2,16.6,36.7,74.6,6.9,13.3,81.5,8.2,77.1,56.6,20.0,69.6,11.3,47.5,39.9,27.5,51.8,27.8,13.3,39.6,21.5,9.2,38.2,10.9,3.6,34.3,77.9,21.0,17.8,40.6,15.4,5.5,38.4,4.0,25.6,7.3,(-67.59022932 45.20968349),1680.0,Low,0,0,0,0,1,0,1,0,0
359,799000,3.0,2.5,1912.0,21780.0,2013.0,5,418.0,44.5163332,-67.5840008,4611.0,9.8,35.0,15.0,39.3,80.6,8.8,11.8,82.0,9.4,79.1,61.5,16.9,73.7,12.0,51.3,42.1,21.3,55.9,26.4,13.1,37.4,19.1,10.0,42.3,9.5,3.8,33.7,78.6,17.9,18.0,37.2,14.4,5.1,34.3,4.1,23.4,6.4,(-67.57709749 44.46732871),508.0,High,0,0,0,0,1,0,1,0,0
360,500000,3.0,2.0,2000.0,95832.0,1920.0,6,250.0,44.4720383,-67.9249143,4680.0,9.4,31.1,16.6,35.0,77.4,7.6,11.8,82.2,7.5,77.6,60.3,16.2,74.3,10.1,53.2,43.2,20.7,58.4,26.8,11.1,33.5,16.8,8.1,39.4,8.4,3.3,30.3,80.1,18.0,15.0,36.7,13.0,4.3,34.7,3.4,20.2,5.4,(-67.94593191 44.50952278),1131.0,High,0,0,0,0,1,0,1,0,0
363,450000,3.0,2.0,1944.0,945252.0,1986.0,7,231.0,44.7414636,-68.0147304,4622.0,9.2,35.9,14.5,39.7,80.9,9.2,11.7,82.3,9.3,79.7,64.8,15.9,74.7,11.7,52.8,41.9,20.8,58.2,26.1,13.1,36.4,18.6,9.8,42.3,9.1,3.9,32.6,79.1,17.0,17.9,37.0,14.3,5.0,34.2,4.1,21.2,6.0,(-67.98527892 44.75711841),1412.0,High,0,0,0,0,1,0,1,0,0
366,218000,2.0,1.0,788.0,10890.0,1955.0,10,277.0,44.7522845,-67.2601409,4691.0,8.0,33.5,15.6,37.1,79.3,8.1,11.7,83.2,7.9,79.1,64.9,15.0,74.1,10.2,55.1,44.3,19.9,60.4,26.0,12.0,33.1,16.7,8.3,40.8,8.0,3.4,30.4,79.9,17.1,15.5,37.0,13.3,4.4,34.7,3.5,18.7,5.2,(-67.25089571 44.76280779),441.0,Low,0,0,0,0,1,0,1,0,0
368,29999,6.0,6.0,1900.0,10018.0,1900.0,12,16.0,45.1559331,-67.4062457,4694.0,9.6,35.3,15.3,39.2,79.7,8.5,12.0,82.3,9.0,78.9,62.7,17.0,72.8,12.0,51.3,41.2,22.7,56.0,27.0,13.0,36.8,19.1,9.5,41.5,9.5,3.8,33.4,79.0,18.2,18.0,38.6,14.8,5.2,35.7,4.1,22.4,6.3,(-67.4665085 45.08979902),2376.0,Low,0,0,0,0,1,0,1,0,0
369,109500,3.0,2.0,1000.0,196020.0,1990.0,12,110.0,44.6272762,-67.8099272,4643.0,10.0,33.4,15.7,37.4,79.0,8.1,11.9,81.8,8.5,78.3,61.3,16.7,74.1,11.2,50.4,42.3,21.7,56.6,26.9,12.3,35.5,18.2,9.0,41.1,9.0,3.5,32.3,78.6,18.1,16.6,37.6,14.0,4.8,35.1,3.8,21.3,5.9,(-67.80772932 44.59245866),1018.0,Low,0,1,0,0,0,0,1,0,0
370,325000,4.0,3.0,5000.0,87120.0,1792.0,12,65.0,45.0106021,-67.2631504,4666.0,8.1,35.1,15.1,38.8,80.4,9.0,11.5,83.7,8.6,79.8,66.3,14.8,75.5,10.7,53.8,43.4,19.6,60.5,25.5,12.3,34.3,16.9,9.2,41.7,8.2,3.7,30.7,79.6,16.5,16.4,36.7,13.5,4.4,34.1,3.8,18.7,5.3,(-67.23370552 45.00712519),1172.0,Low,0,0,0,0,1,0,1,0,0
373,259990,2.0,1.5,788.0,24829.0,1998.0,13,330.0,44.8117078,-66.9881077,4652.0,9.2,37.9,13.9,41.6,82.1,9.8,11.8,82.1,10.0,80.5,66.6,15.9,74.7,12.5,51.2,40.6,20.4,58.1,25.6,13.8,37.7,19.5,10.5,43.7,9.4,4.2,33.4,79.8,16.6,19.3,36.8,15.0,5.3,33.8,4.5,21.3,6.4,(-67.00635494 44.81750321),1690.0,Low,0,0,0,0,1,0,1,0,0
374,999000,3.0,3.0,2550.0,87120.0,2000.0,15,392.0,44.4980905,-67.7383798,4606.0,9.7,34.0,15.6,37.9,79.2,8.2,12.0,81.8,8.6,78.5,61.8,16.6,75.0,11.5,51.5,42.2,22.1,56.6,27.1,12.5,35.7,18.4,9.0,41.4,9.0,3.6,32.5,80.0,18.2,16.9,37.9,14.2,4.8,35.1,3.8,20.9,5.9,(-67.70317352 44.58407605),1272.0,High,0,0,0,0,1,0,1,0,0
375,195000,3.0,1.0,1104.0,27007.0,1975.0,16,177.0,44.9155722,-67.0073366,4631.0,8.2,38.6,13.3,42.3,82.7,10.1,11.7,82.0,10.2,81.3,68.1,15.3,75.4,12.3,52.0,41.2,19.5,59.2,25.3,14.1,37.6,19.1,10.6,43.7,9.2,4.2,32.8,80.0,16.3,19.2,36.7,14.7,5.2,33.7,4.5,20.4,6.3,(-67.01038675 44.91655228),1331.0,Low,0,0,0,0,1,0,1,0,0
377,229900,1.0,1.0,523.0,67082.0,1987.0,17,440.0,44.7668642,-67.2234191,4691.0,8.0,33.5,15.6,37.1,79.3,8.1,11.7,83.2,7.9,79.1,64.9,15.0,74.1,10.2,55.1,44.3,19.9,60.4,26.0,12.0,33.1,16.7,8.3,40.8,8.0,3.4,30.4,79.9,17.1,15.5,37.0,13.3,4.4,34.7,3.5,18.7,5.2,(-67.25089571 44.76280779),441.0,Low,0,0,0,0,1,0,1,0,0
379,435000,3.0,2.0,1456.0,2193246.0,2003.0,20,299.0,44.7185499,-67.7456191,4623.0,9.7,32.4,16.1,36.3,78.0,7.5,12.1,81.7,8.0,77.8,60.3,16.9,72.6,10.9,51.2,41.7,22.5,56.5,27.6,11.9,34.7,18.0,8.4,40.2,8.9,3.3,31.9,80.2,18.7,16.0,38.0,13.9,4.7,35.5,3.6,21.1,5.8,(-67.7249815 44.69889732),1054.0,High,0,0,0,0,1,0,1,0,0
380,175000,3.0,2.0,1352.0,435600.0,1997.0,22,129.0,45.1383465,-67.4955123,4668.0,11.8,31.2,16.6,36.7,74.6,6.9,13.3,81.5,8.2,77.1,56.6,20.0,69.6,11.3,47.5,39.9,27.5,51.8,27.8,13.3,39.6,21.5,9.2,38.2,10.9,3.6,34.3,77.9,21.0,17.8,40.6,15.4,5.5,38.4,4.0,25.6,7.3,(-67.59022932 45.20968349),1680.0,Low,0,1,0,0,0,0,1,0,0
382,134900,2.0,1.0,783.0,18295.0,1957.0,22,172.0,45.1715479,-67.2878165,4619.0,9.4,33.9,15.4,37.5,79.7,8.8,12.0,81.8,8.7,78.8,61.4,17.0,73.5,11.2,51.0,39.2,20.1,57.6,26.8,12.1,37.0,18.2,9.6,41.0,9.6,3.8,32.3,79.3,18.2,17.4,35.9,14.0,4.8,34.3,4.0,22.1,6.1,(-67.22227795 45.1215824),3121.0,Low,0,0,0,0,1,0,1,0,0
383,179000,4.0,1.5,1360.0,280962.0,1975.0,22,132.0,44.759011,-67.3973818,4630.0,8.4,31.7,16.2,35.3,78.3,7.8,11.6,83.1,7.6,78.3,61.9,15.5,74.1,9.8,53.1,44.7,19.8,59.6,26.5,11.0,32.8,16.0,8.2,39.5,8.0,3.3,30.1,79.5,17.7,14.8,36.3,12.8,4.1,34.7,3.4,19.2,5.1,(-67.45859387 44.83788991),1398.0,Low,0,0,0,0,1,0,1,0,0
385,494900,3.0,2.0,2200.0,1742.0,1900.0,24,225.0,44.8610366,-66.9836135,4652.0,9.2,37.9,13.9,41.6,82.1,9.8,11.8,82.1,10.0,80.5,66.6,15.9,74.7,12.5,51.2,40.6,20.4,58.1,25.6,13.8,37.7,19.5,10.5,43.7,9.4,4.2,33.4,79.8,16.6,19.3,36.8,15.0,5.3,33.8,4.5,21.3,6.4,(-67.00635494 44.81750321),1690.0,High,0,0,0,0,1,0,1,0,0
386,274900,3.0,1.5,1200.0,3920.0,1920.0,24,229.0,44.8603972,-66.98474,4652.0,9.2,37.9,13.9,41.6,82.1,9.8,11.8,82.1,10.0,80.5,66.6,15.9,74.7,12.5,51.2,40.6,20.4,58.1,25.6,13.8,37.7,19.5,10.5,43.7,9.4,4.2,33.4,79.8,16.6,19.3,36.8,15.0,5.3,33.8,4.5,21.3,6.4,(-67.00635494 44.81750321),1690.0,Low,0,0,0,0,1,0,1,0,0
387,58000,5.0,2.0,1872.0,11761.0,1900.0,25,31.0,44.7165918,-67.4576481,4654.0,10.2,31.9,15.6,36.0,78.6,7.8,12.4,79.9,8.5,77.9,57.1,18.5,72.9,11.2,50.1,39.0,21.1,55.1,28.1,12.0,37.4,18.7,9.3,40.4,10.0,3.6,33.1,79.4,19.8,17.0,36.6,14.0,5.0,34.8,3.8,23.5,6.5,(-67.52323389 44.7504547),3424.0,Low,0,0,1,0,0,0,1,0,0
388,295000,2.0,1.5,1338.0,275734.0,2009.0,26,220.0,44.662984,-67.545468,4648.0,10.0,33.0,15.8,37.2,78.5,7.7,12.0,82.0,8.2,78.0,60.2,17.2,72.2,11.3,49.3,40.3,23.0,55.4,27.3,12.2,35.7,18.6,8.8,40.3,9.3,3.4,33.2,79.9,18.6,16.8,38.5,14.3,5.0,35.7,3.7,22.2,6.2,(-67.629568 44.6567169),580.0,Low,0,0,0,0,1,0,1,0,0
389,400000,5.0,1.0,5228.0,119354.0,1900.0,27,77.0,44.59829,-67.927308,4622.0,9.2,35.9,14.5,39.7,80.9,9.2,11.7,82.3,9.3,79.7,64.8,15.9,74.7,11.7,52.8,41.9,20.8,58.2,26.1,13.1,36.4,18.6,9.8,42.3,9.1,3.9,32.6,79.1,17.0,17.9,37.0,14.3,5.0,34.2,4.1,21.2,6.0,(-67.98527892 44.75711841),1412.0,High,0,0,0,0,1,0,1,0,0
390,149900,3.0,1.0,858.0,20037.0,1930.0,27,175.0,45.155616,-67.4106795,4694.0,9.6,35.3,15.3,39.2,79.7,8.5,12.0,82.3,9.0,78.9,62.7,17.0,72.8,12.0,51.3,41.2,22.7,56.0,27.0,13.0,36.8,19.1,9.5,41.5,9.5,3.8,33.4,79.0,18.2,18.0,38.6,14.8,5.2,35.7,4.1,22.4,6.3,(-67.4665085 45.08979902),2376.0,Low,0,0,0,0,1,0,1,0,0
391,425000,2.0,2.0,1543.0,9583.0,1775.0,28,275.0,44.7172564,-67.4547995,4654.0,10.2,31.9,15.6,36.0,78.6,7.8,12.4,79.9,8.5,77.9,57.1,18.5,72.9,11.2,50.1,39.0,21.1,55.1,28.1,12.0,37.4,18.7,9.3,40.4,10.0,3.6,33.1,79.4,19.8,17.0,36.6,14.0,5.0,34.8,3.8,23.5,6.5,(-67.52323389 44.7504547),3424.0,High,0,0,0,0,1,0,1,0,0
401,299999,1.0,1.0,1100.0,14810.0,1950.0,33,273.0,44.8463016,-66.9981646,4652.0,9.2,37.9,13.9,41.6,82.1,9.8,11.8,82.1,10.0,80.5,66.6,15.9,74.7,12.5,51.2,40.6,20.4,58.1,25.6,13.8,37.7,19.5,10.5,43.7,9.4,4.2,33.4,79.8,16.6,19.3,36.8,15.0,5.3,33.8,4.5,21.3,6.4,(-67.00635494 44.81750321),1690.0,Low,0,0,0,0,1,0,1,0,0
403,825000,3.0,2.0,2603.0,1126897.0,1955.0,35,317.0,44.9129923,-67.0224415,4631.0,8.2,38.6,13.3,42.3,82.7,10.1,11.7,82.0,10.2,81.3,68.1,15.3,75.4,12.3,52.0,41.2,19.5,59.2,25.3,14.1,37.6,19.1,10.6,43.7,9.2,4.2,32.8,80.0,16.3,19.2,36.7,14.7,5.2,33.7,4.5,20.4,6.3,(-67.01038675 44.91655228),1331.0,High,0,0,0,0,1,0,1,0,0
408,295000,2.0,2.0,1518.0,29185.0,1940.0,38,194.0,44.8609109,-67.0158672,4652.0,9.2,37.9,13.9,41.6,82.1,9.8,11.8,82.1,10.0,80.5,66.6,15.9,74.7,12.5,51.2,40.6,20.4,58.1,25.6,13.8,37.7,19.5,10.5,43.7,9.4,4.2,33.4,79.8,16.6,19.3,36.8,15.0,5.3,33.8,4.5,21.3,6.4,(-67.00635494 44.81750321),1690.0,Low,0,0,0,0,1,0,1,0,0
410,250000,2.0,1.0,1404.0,357191.0,1976.0,39,178.0,44.6904885,-67.7357039,4623.0,9.7,32.4,16.1,36.3,78.0,7.5,12.1,81.7,8.0,77.8,60.3,16.9,72.6,10.9,51.2,41.7,22.5,56.5,27.6,11.9,34.7,18.0,8.4,40.2,8.9,3.3,31.9,80.2,18.7,16.0,38.0,13.9,4.7,35.5,3.6,21.1,5.8,(-67.7249815 44.69889732),1054.0,Low,0,0,0,0,1,0,1,0,0
414,390000,2.0,2.0,2100.0,43560.0,1992.0,43,186.0,45.0461016,-67.145575,4671.0,9.3,36.1,14.4,40.5,80.9,8.9,12.0,82.0,9.8,79.7,63.9,16.9,71.6,12.2,51.4,40.6,21.5,56.3,26.5,13.8,37.8,19.6,10.4,42.3,9.8,4.0,33.4,79.0,17.7,18.6,38.0,14.9,5.5,34.8,4.3,22.6,6.6,(-67.16716764 45.06306715),576.0,Low,0,0,0,0,1,0,1,0,0
418,110000,3.0,1.5,1327.0,16117.0,1900.0,47,83.0,44.791974,-67.173397,4691.0,8.0,33.5,15.6,37.1,79.3,8.1,11.7,83.2,7.9,79.1,64.9,15.0,74.1,10.2,55.1,44.3,19.9,60.4,26.0,12.0,33.1,16.7,8.3,40.8,8.0,3.4,30.4,79.9,17.1,15.5,37.0,13.3,4.4,34.7,3.5,18.7,5.2,(-67.25089571 44.76280779),441.0,Low,0,0,0,0,1,0,1,0,0
422,325000,2.0,2.0,3300.0,151588.0,1985.0,49,98.0,44.70421,-67.332215,4655.0,9.4,30.6,17.8,35.2,77.1,7.7,11.0,83.3,7.5,77.0,60.2,15.2,75.0,9.6,53.8,44.3,20.1,58.4,25.3,11.0,32.7,15.9,8.2,39.7,7.7,3.2,29.6,79.0,17.1,14.3,36.7,12.5,4.0,34.9,3.3,19.0,5.0,(-67.40496408 44.65410125),1119.0,Low,0,0,0,0,1,0,1,0,0
425,475000,3.0,2.0,982.0,388990.0,2013.0,50,484.0,44.700303,-67.342336,4655.0,9.4,30.6,17.8,35.2,77.1,7.7,11.0,83.3,7.5,77.0,60.2,15.2,75.0,9.6,53.8,44.3,20.1,58.4,25.3,11.0,32.7,15.9,8.2,39.7,7.7,3.2,29.6,79.0,17.1,14.3,36.7,12.5,4.0,34.9,3.3,19.0,5.0,(-67.40496408 44.65410125),1119.0,High,0,0,0,0,1,0,1,0,0
426,139000,3.0,2.0,1456.0,43560.0,1999.0,50,95.0,44.649268,-67.5566445,4648.0,10.0,33.0,15.8,37.2,78.5,7.7,12.0,82.0,8.2,78.0,60.2,17.2,72.2,11.3,49.3,40.3,23.0,55.4,27.3,12.2,35.7,18.6,8.8,40.3,9.3,3.4,33.2,79.9,18.6,16.8,38.5,14.3,5.0,35.7,3.7,22.2,6.2,(-67.629568 44.6567169),580.0,Low,0,1,0,0,0,0,1,0,0
428,279000,3.0,1.0,1080.0,32670.0,1971.0,51,258.0,44.8105452,-68.0334531,4622.0,9.2,35.9,14.5,39.7,80.9,9.2,11.7,82.3,9.3,79.7,64.8,15.9,74.7,11.7,52.8,41.9,20.8,58.2,26.1,13.1,36.4,18.6,9.8,42.3,9.1,3.9,32.6,79.1,17.0,17.9,37.0,14.3,5.0,34.2,4.1,21.2,6.0,(-67.98527892 44.75711841),1412.0,Low,0,0,0,0,1,0,1,0,0
430,449000,3.0,1.0,2119.0,739213.0,2000.0,51,212.0,44.772961,-67.4062135,4630.0,8.4,31.7,16.2,35.3,78.3,7.8,11.6,83.1,7.6,78.3,61.9,15.5,74.1,9.8,53.1,44.7,19.8,59.6,26.5,11.0,32.8,16.0,8.2,39.5,8.0,3.3,30.1,79.5,17.7,14.8,36.3,12.8,4.1,34.7,3.4,19.2,5.1,(-67.45859387 44.83788991),1398.0,High,0,0,0,0,1,0,1,0,0
435,259000,3.0,2.0,1310.0,91476.0,1912.0,54,198.0,44.7358027,-67.4737468,4654.0,10.2,31.9,15.6,36.0,78.6,7.8,12.4,79.9,8.5,77.9,57.1,18.5,72.9,11.2,50.1,39.0,21.1,55.1,28.1,12.0,37.4,18.7,9.3,40.4,10.0,3.6,33.1,79.4,19.8,17.0,36.6,14.0,5.0,34.8,3.8,23.5,6.5,(-67.52323389 44.7504547),3424.0,Low,0,0,0,0,1,0,1,0,0
436,775000,3.0,1.0,2047.0,15066532.0,1970.0,54,379.0,44.8180258,-67.0452756,4652.0,9.2,37.9,13.9,41.6,82.1,9.8,11.8,82.1,10.0,80.5,66.6,15.9,74.7,12.5,51.2,40.6,20.4,58.1,25.6,13.8,37.7,19.5,10.5,43.7,9.4,4.2,33.4,79.8,16.6,19.3,36.8,15.0,5.3,33.8,4.5,21.3,6.4,(-67.00635494 44.81750321),1690.0,High,0,0,0,0,1,0,1,0,0
437,77000,3.0,1.0,900.0,141570.0,1901.0,54,86.0,44.7431692,-68.0174967,4622.0,9.2,35.9,14.5,39.7,80.9,9.2,11.7,82.3,9.3,79.7,64.8,15.9,74.7,11.7,52.8,41.9,20.8,58.2,26.1,13.1,36.4,18.6,9.8,42.3,9.1,3.9,32.6,79.1,17.0,17.9,37.0,14.3,5.0,34.2,4.1,21.2,6.0,(-67.98527892 44.75711841),1412.0,Low,0,0,0,0,1,0,1,0,0
438,425000,4.0,2.0,2244.0,20037.0,2003.0,55,189.0,45.2255747,-67.5742279,4668.0,11.8,31.2,16.6,36.7,74.6,6.9,13.3,81.5,8.2,77.1,56.6,20.0,69.6,11.3,47.5,39.9,27.5,51.8,27.8,13.3,39.6,21.5,9.2,38.2,10.9,3.6,34.3,77.9,21.0,17.8,40.6,15.4,5.5,38.4,4.0,25.6,7.3,(-67.59022932 45.20968349),1680.0,High,0,0,0,0,1,0,1,0,0
439,225000,3.0,1.0,1020.0,14374.0,1975.0,56,221.0,44.7047366,-67.4681766,4654.0,10.2,31.9,15.6,36.0,78.6,7.8,12.4,79.9,8.5,77.9,57.1,18.5,72.9,11.2,50.1,39.0,21.1,55.1,28.1,12.0,37.4,18.7,9.3,40.4,10.0,3.6,33.1,79.4,19.8,17.0,36.6,14.0,5.0,34.8,3.8,23.5,6.5,(-67.52323389 44.7504547),3424.0,Low,0,0,0,0,1,0,1,0,0
440,325000,3.0,2.0,1680.0,50529.0,1975.0,56,193.0,44.7356369,-67.456823,4654.0,10.2,31.9,15.6,36.0,78.6,7.8,12.4,79.9,8.5,77.9,57.1,18.5,72.9,11.2,50.1,39.0,21.1,55.1,28.1,12.0,37.4,18.7,9.3,40.4,10.0,3.6,33.1,79.4,19.8,17.0,36.6,14.0,5.0,34.8,3.8,23.5,6.5,(-67.52323389 44.7504547),3424.0,Low,0,0,0,0,1,0,1,0,0
441,360000,2.0,2.0,1196.0,1132560.0,1910.0,56,301.0,44.8677401,-67.017264,4652.0,9.2,37.9,13.9,41.6,82.1,9.8,11.8,82.1,10.0,80.5,66.6,15.9,74.7,12.5,51.2,40.6,20.4,58.1,25.6,13.8,37.7,19.5,10.5,43.7,9.4,4.2,33.4,79.8,16.6,19.3,36.8,15.0,5.3,33.8,4.5,21.3,6.4,(-67.00635494 44.81750321),1690.0,Low,0,0,0,0,1,0,1,0,0
443,309900,1.0,1.0,580.0,108900.0,1960.0,59,534.0,45.1515652,-67.6293499,4668.0,11.8,31.2,16.6,36.7,74.6,6.9,13.3,81.5,8.2,77.1,56.6,20.0,69.6,11.3,47.5,39.9,27.5,51.8,27.8,13.3,39.6,21.5,9.2,38.2,10.9,3.6,34.3,77.9,21.0,17.8,40.6,15.4,5.5,38.4,4.0,25.6,7.3,(-67.59022932 45.20968349),1680.0,Low,0,0,0,0,1,0,1,0,0
446,179900,3.0,2.0,1313.0,1350360.0,1960.0,59,137.0,44.6999259,-67.3004224,4626.0,10.0,34.9,15.2,39.4,79.9,8.9,11.5,83.9,9.6,78.9,63.5,16.2,75.0,11.7,53.2,40.5,21.5,56.8,25.7,13.0,36.7,18.9,10.3,42.1,9.1,3.9,32.5,79.1,17.0,17.7,37.1,14.4,5.0,34.6,4.2,22.0,6.1,(-67.2168219 44.69019886),507.0,Low,1,0,0,0,0,0,1,0,0
449,425000,3.0,2.0,1512.0,24829.0,1992.0,64,281.0,45.243949,-67.522343,4694.0,9.6,35.3,15.3,39.2,79.7,8.5,12.0,82.3,9.0,78.9,62.7,17.0,72.8,12.0,51.3,41.2,22.7,56.0,27.0,13.0,36.8,19.1,9.5,41.5,9.5,3.8,33.4,79.0,18.2,18.0,38.6,14.8,5.2,35.7,4.1,22.4,6.3,(-67.4665085 45.08979902),2376.0,High,0,0,0,0,1,0,1,0,0
450,225000,2.0,1.5,1188.0,2613.0,1900.0,65,189.0,44.9061173,-66.9940067,4631.0,8.2,38.6,13.3,42.3,82.7,10.1,11.7,82.0,10.2,81.3,68.1,15.3,75.4,12.3,52.0,41.2,19.5,59.2,25.3,14.1,37.6,19.1,10.6,43.7,9.2,4.2,32.8,80.0,16.3,19.2,36.7,14.7,5.2,33.7,4.5,20.4,6.3,(-67.01038675 44.91655228),1331.0,Low,0,0,0,0,1,0,1,0,0
452,349000,3.0,1.0,1296.0,59677.0,1980.0,65,269.0,44.518893,-67.725641,4606.0,9.7,34.0,15.6,37.9,79.2,8.2,12.0,81.8,8.6,78.5,61.8,16.6,75.0,11.5,51.5,42.2,22.1,56.6,27.1,12.5,35.7,18.4,9.0,41.4,9.0,3.6,32.5,80.0,18.2,16.9,37.9,14.2,4.8,35.1,3.8,20.9,5.9,(-67.70317352 44.58407605),1272.0,Low,0,0,0,0,1,0,1,0,0
454,385000,2.0,1.0,590.0,4791.0,1920.0,68,653.0,44.5701759,-67.570605,4649.0,10.0,36.4,14.3,40.6,81.4,9.3,11.7,81.6,9.9,79.7,63.3,16.9,74.0,12.4,50.5,39.2,21.6,55.7,26.1,13.5,38.3,19.7,10.6,42.8,9.9,4.1,34.6,79.5,17.5,19.1,37.5,14.9,5.3,34.5,4.4,23.2,6.7,(-67.60237928 44.57719166),1370.0,Low,0,0,0,0,1,0,1,0,0
455,39900,3.0,1.0,1200.0,10018.0,1920.0,68,33.0,45.1547622,-67.4074527,4694.0,9.6,35.3,15.3,39.2,79.7,8.5,12.0,82.3,9.0,78.9,62.7,17.0,72.8,12.0,51.3,41.2,22.7,56.0,27.0,13.0,36.8,19.1,9.5,41.5,9.5,3.8,33.4,79.0,18.2,18.0,38.6,14.8,5.2,35.7,4.1,22.4,6.3,(-67.4665085 45.08979902),2376.0,Low,0,0,0,0,1,0,1,0,0
457,245900,2.0,2.0,1240.0,56628.0,2021.0,69,198.0,45.0211881,-67.2452664,4666.0,8.1,35.1,15.1,38.8,80.4,9.0,11.5,83.7,8.6,79.8,66.3,14.8,75.5,10.7,53.8,43.4,19.6,60.5,25.5,12.3,34.3,16.9,9.2,41.7,8.2,3.7,30.7,79.6,16.5,16.4,36.7,13.5,4.4,34.1,3.8,18.7,5.3,(-67.23370552 45.00712519),1172.0,Low,0,0,0,0,1,0,1,0,0
458,795000,4.0,2.0,3618.0,16117.0,1970.0,69,220.0,44.9124184,-66.9993786,4631.0,8.2,38.6,13.3,42.3,82.7,10.1,11.7,82.0,10.2,81.3,68.1,15.3,75.4,12.3,52.0,41.2,19.5,59.2,25.3,14.1,37.6,19.1,10.6,43.7,9.2,4.2,32.8,80.0,16.3,19.2,36.7,14.7,5.2,33.7,4.5,20.4,6.3,(-67.01038675 44.91655228),1331.0,High,0,0,0,0,1,0,1,0,0
459,151500,4.0,2.5,1418.0,13939.0,1856.0,71,107.0,44.730374,-67.400349,4630.0,8.4,31.7,16.2,35.3,78.3,7.8,11.6,83.1,7.6,78.3,61.9,15.5,74.1,9.8,53.1,44.7,19.8,59.6,26.5,11.0,32.8,16.0,8.2,39.5,8.0,3.3,30.1,79.5,17.7,14.8,36.3,12.8,4.1,34.7,3.4,19.2,5.1,(-67.45859387 44.83788991),1398.0,Low,0,0,0,0,1,0,1,0,0
460,369000,3.0,2.0,2077.0,5140080.0,1835.0,72,178.0,44.835289,-67.419877,4630.0,8.4,31.7,16.2,35.3,78.3,7.8,11.6,83.1,7.6,78.3,61.9,15.5,74.1,9.8,53.1,44.7,19.8,59.6,26.5,11.0,32.8,16.0,8.2,39.5,8.0,3.3,30.1,79.5,17.7,14.8,36.3,12.8,4.1,34.7,3.4,19.2,5.1,(-67.45859387 44.83788991),1398.0,Low,0,0,0,0,1,0,1,0,0
462,289000,4.0,2.5,2563.0,8712.0,1900.0,73,113.0,44.7150058,-67.4604574,4654.0,10.2,31.9,15.6,36.0,78.6,7.8,12.4,79.9,8.5,77.9,57.1,18.5,72.9,11.2,50.1,39.0,21.1,55.1,28.1,12.0,37.4,18.7,9.3,40.4,10.0,3.6,33.1,79.4,19.8,17.0,36.6,14.0,5.0,34.8,3.8,23.5,6.5,(-67.52323389 44.7504547),3424.0,Low,0,0,0,0,1,0,1,0,0
464,114000,3.0,2.0,1139.0,10890.0,1862.0,75,100.0,45.1798734,-67.2562464,4619.0,9.4,33.9,15.4,37.5,79.7,8.8,12.0,81.8,8.7,78.8,61.4,17.0,73.5,11.2,51.0,39.2,20.1,57.6,26.8,12.1,37.0,18.2,9.6,41.0,9.6,3.8,32.3,79.3,18.2,17.4,35.9,14.0,4.8,34.3,4.0,22.1,6.1,(-67.22227795 45.1215824),3121.0,Low,0,0,0,0,1,0,1,0,0
465,1350000,5.0,5.0,5402.0,217800.0,1997.0,76,250.0,44.7006149,-67.3399257,4655.0,9.4,30.6,17.8,35.2,77.1,7.7,11.0,83.3,7.5,77.0,60.2,15.2,75.0,9.6,53.8,44.3,20.1,58.4,25.3,11.0,32.7,15.9,8.2,39.7,7.7,3.2,29.6,79.0,17.1,14.3,36.7,12.5,4.0,34.9,3.3,19.0,5.0,(-67.40496408 44.65410125),1119.0,High,0,0,0,0,1,0,1,0,0
