,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,LATITUDE,LONGITUDE,LocationID,ACCESS2,ARTHRITIS,BINGE,BPHIGH,BPMED,CANCER,CASTHMA,CERVICAL,CHD,CHECKUP,CHOLSCREEN,COGNITION,COLON_SCREEN,COPD,COREM,COREW,CSMOKING,DENTAL,DEPRESSION,DIABETES,DISABILITY,GHLTH,HEARING,HIGHCHOL,INDEPLIVE,KIDNEY,LPA,MAMMOUSE,MHLTH,MOBILITY,OBESITY,PHLTH,SELFCARE,SLEEP,STROKE,TEETHLOST,VISION,Geolocation,TotalPopulation,PRICE_cat2,PROPERTY TYPE_Condo/Co-op,PROPERTY TYPE_Mobile/Manufactured Home,PROPERTY TYPE_Multi-Family (2-4 Unit),PROPERTY TYPE_Multi-Family (5+ Unit),PROPERTY TYPE_Single Family Residential,PROPERTY TYPE_Townhouse,STATE OR PROVINCE_ME,STATE OR PROVINCE_NH,STATE OR PROVINCE_VT
4507,735000,2.0,1.0,919.0,4791.0,2018.0,112,800.0,43.6672127,-70.2479868,4101.0,9.4,19.7,20.3,26.6,66.2,5.0,12.2,79.1,5.0,73.5,49.2,16.7,77.5,6.2,48.9,38.3,15.5,64.2,26.0,7.6,28.4,13.3,6.0,33.5,7.9,2.4,22.7,80.8,18.1,10.7,29.1,9.9,3.6,31.2,2.4,14.5,5.0,(-70.261306 43.6584799),17227.0,High,1,0,0,0,0,0,1,0,0
4508,395000,3.0,2.0,1176.0,13503.0,2010.0,1,336.0,43.6828555,-70.4308367,4038.0,6.1,22.3,20.5,26.9,70.5,6.6,11.2,84.1,5.0,75.6,58.7,12.7,80.6,5.5,54.1,41.1,12.1,73.7,24.3,6.7,24.6,10.2,6.0,35.3,5.8,2.5,19.2,80.3,15.3,9.7,26.0,8.8,2.6,28.8,2.4,10.8,3.3,(-70.45805411 43.70339371),16381.0,Low,1,0,0,0,0,0,1,0,0
4509,399900,2.0,1.5,968.0,6969.0,2020.0,1,413.0,44.037561,-70.708981,4009.0,7.6,29.1,17.1,34.8,76.2,8.4,11.4,82.4,7.5,78.0,62.5,14.2,79.8,8.3,51.5,39.7,15.4,68.5,23.9,9.8,30.6,14.3,8.4,40.8,7.5,3.4,24.6,79.1,15.0,14.4,29.0,11.4,3.8,29.7,3.4,14.5,4.7,(-70.73374698 44.04838667),5151.0,High,0,0,0,0,1,0,1,0,0
4511,2500000,4.0,3.0,3243.0,121967.0,2017.0,1,771.0,43.7660264,-70.174655,4096.0,4.4,25.5,18.1,30.0,74.6,8.4,10.4,86.4,5.6,78.7,69.4,9.4,82.9,5.1,57.8,45.1,9.2,78.7,21.3,7.2,22.1,9.0,6.4,37.9,4.7,2.8,16.9,81.6,11.8,9.6,24.8,8.1,2.3,26.4,2.5,7.6,2.8,(-70.18419798 43.80799891),8349.0,High,0,0,0,0,1,0,1,0,0
4512,1050000,3.0,2.5,3735.0,16988.0,2017.0,1,281.0,43.797566,-70.2075256,4096.0,4.4,25.5,18.1,30.0,74.6,8.4,10.4,86.4,5.6,78.7,69.4,9.4,82.9,5.1,57.8,45.1,9.2,78.7,21.3,7.2,22.1,9.0,6.4,37.9,4.7,2.8,16.9,81.6,11.8,9.6,24.8,8.1,2.3,26.4,2.5,7.6,2.8,(-70.18419798 43.80799891),8349.0,High,0,0,0,0,1,0,1,0,0
4514,375000,3.0,2.0,2144.0,74052.0,2003.0,1,175.0,43.9149671,-70.7059169,4029.0,8.1,27.5,18.6,33.0,73.5,7.5,11.6,82.3,6.8,76.5,60.6,14.6,79.7,8.1,50.3,40.6,16.9,67.8,24.6,9.2,29.6,14.1,7.7,39.4,7.3,3.1,24.4,78.6,15.6,13.5,29.5,11.4,3.7,30.8,3.1,14.5,4.4,(-70.68777079 43.9016502),1725.0,Low,0,0,0,0,1,0,1,0,0
4515,2200000,26.0,19.0,13582.0,9147.0,1910.0,1,162.0,43.6569667,-70.266035,4101.0,9.4,19.7,20.3,26.6,66.2,5.0,12.2,79.1,5.0,73.5,49.2,16.7,77.5,6.2,48.9,38.3,15.5,64.2,26.0,7.6,28.4,13.3,6.0,33.5,7.9,2.4,22.7,80.8,18.1,10.7,29.1,9.9,3.6,31.2,2.4,14.5,5.0,(-70.261306 43.6584799),17227.0,High,0,0,0,1,0,0,1,0,0
4516,199000,2.0,1.0,732.0,4791.0,1925.0,1,272.0,43.6335014,-70.3006503,4106.0,6.3,23.1,19.5,27.9,71.3,6.9,11.1,83.6,5.2,76.1,60.6,12.2,81.3,5.6,54.4,42.1,12.1,73.1,23.5,7.1,24.5,10.4,6.1,36.0,5.8,2.6,19.6,80.6,14.5,10.0,26.2,8.8,2.6,29.0,2.4,10.6,3.4,(-70.29576398 43.62513047),25175.0,Low,0,0,0,0,1,0,1,0,0
4517,249000,2.0,2.0,1008.0,38768.0,1992.0,1,247.0,43.8378472,-70.4307405,4062.0,6.6,23.3,20.7,28.0,69.8,6.6,11.2,84.4,5.1,75.4,60.3,12.6,80.7,5.9,53.6,42.8,13.8,72.3,24.1,7.0,24.5,10.7,6.0,35.8,5.8,2.5,19.9,80.0,14.9,10.0,27.6,9.2,2.7,29.9,2.4,11.0,3.3,(-70.40447453 43.79746391),17020.0,Low,0,1,0,0,0,0,1,0,0
4519,799000,3.0,2.5,2136.0,7405.0,2005.0,1,374.0,43.706471,-70.2799092,4103.0,6.6,23.0,19.2,28.1,71.5,7.1,11.2,83.3,5.4,76.3,60.2,12.5,80.5,5.6,54.5,40.0,11.8,72.5,23.5,7.2,25.3,10.7,6.4,35.7,6.1,2.7,19.9,80.8,14.6,10.4,26.1,8.9,2.7,28.8,2.5,11.2,3.6,(-70.2930211 43.69458023),30606.0,High,0,0,0,0,1,0,1,0,0
