SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,31 Cline Rd,Saint George,ME,04859,269000,2,1.0,Saint George,1106,43560,1983,1,243,,Active,,,https://www.redfin.com/ME/Spruce-Head/31-Cline-Rd-04859/home/100162168,MREIS,1578010,N,Y,44.007612,-69.153885
MLS Listing,,Single Family Residential,27 Knott St,Rockland,ME,04841,218000,1,1.0,Rockland,597,4791,1947,1,365,,Active,,,https://www.redfin.com/ME/Rockland/27-Knott-St-04841/home/100135666,MREIS,1577985,N,Y,44.1165801,-69.1084311
MLS Listing,,Single Family Residential,480 West St,Rockport,ME,04856,345900,2,1.5,Rockport,2395,48787,1980,1,144,,Active,,,https://www.redfin.com/ME/Rockport/480-West-St-04856/home/66714620,MREIS,1577947,N,Y,44.1839398,-69.121794
MLS Listing,,Single Family Residential,116 Fishtown Rd,Appleton,ME,04862,220000,2,1.0,Appleton,704,87120,1950,2,313,,Active,,,https://www.redfin.com/ME/Appleton/116-Fishtown-Rd-04862/home/100094282,MREIS,1577925,N,Y,44.3058345,-69.3343322
MLS Listing,,Single Family Residential,33 Beechwood St,Thomaston,ME,04861,375000,3,2.0,Thomaston,1578,10018,1900,2,238,,Active,,,https://www.redfin.com/ME/Thomaston/33-Beechwood-St-04861/home/100247903,MREIS,1577898,N,Y,44.0811153,-69.1816217
MLS Listing,,Vacant Land,00 Hackleburnham Rd,Hope,ME,04847,149000,,,Hope,,344124,,2,,,Active,,,https://www.redfin.com/ME/Hope/0-Hackleburnham-Rd-04847/home/188636618,MREIS,1577883,N,Y,44.226017,-69.2041534
MLS Listing,,Single Family Residential,30 Pond St,Vinalhaven,ME,04863,329000,2,2.0,Vinalhaven,1730,60983,1984,2,190,,Active,,,https://www.redfin.com/ME/Vinalhaven/30-Pond-St-04863/home/97712666,MREIS,1577857,N,Y,44.0502225,-68.8435179
MLS Listing,,Vacant Land,76 Fish St,Thomaston,ME,04861,199500,,,Thomaston,,24393,,2,,,Active,,,https://www.redfin.com/ME/Thomaston/76-Fish-St-04861/home/100248039,MREIS,1577867,N,Y,44.0809713,-69.1706797
MLS Listing,,Multi-Family (2-4 Unit),749 Heald Hwy,Union,ME,04862,2100000,3,2.0,Union,18301,124146,1990,2,115,,Active,,,https://www.redfin.com/ME/Union/749-Heald-Hwy-04862/home/184846720,MREIS,1577826,N,Y,44.214384,-69.241808
MLS Listing,,Single Family Residential,265 Vinal St,Rockport,ME,04856,475000,3,3.0,Rockport,2399,67953,1832,3,198,,Active,December-2-2023 01:00 PM,December-2-2023 03:00 PM,https://www.redfin.com/ME/Rockport/265-Vinal-St-04856/home/100301858,MREIS,1577811,N,Y,44.1696282,-69.1326582
MLS Listing,,Vacant Land,2 Boulder Way,Rockport,ME,04856,79000,,,Rockport,,55321,,4,,21,Active,,,https://www.redfin.com/ME/Rockport/2-Boulder-Way-04856/home/179966640,MREIS,1577772,N,Y,44.1949468,-69.1257233
MLS Listing,,Single Family Residential,80 Pequot Rd,Vinalhaven,ME,04863,229000,3,1.0,Vinalhaven,1150,20037,1900,5,199,,Active,,,https://www.redfin.com/ME/Vinalhaven/80-Pequot-Rd-04863/home/97713275,MREIS,1577756,N,Y,44.0495218,-68.8118829
MLS Listing,,Single Family Residential,113 Pleasant St,Rockland,ME,04841,350000,3,2.0,Rockland,1389,3484,1810,5,252,,Active,,,https://www.redfin.com/ME/Rockland/113-Pleasant-St-04841/home/100136776,MREIS,1577751,N,Y,44.0996039,-69.1175431
