SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,171 Highland St,Hudson,NH,03051,625000,4,2.0,Hudson,3822,34848,1969,12,164,,Active,,,https://www.redfin.com/NH/Hudson/171-Highland-St-03051/home/103044184,PrimeMLS,4977417,N,Y,42.7805393,-71.4192914
MLS Listing,,Single Family Residential,5 Gendron St,Bedford,NH,03110,429900,3,2.0,Bedford,1206,13939,1996,28,356,,Active,,,https://www.redfin.com/NH/Bedford/5-Gendron-St-03110/home/70014889,PrimeMLS,4975412,N,Y,42.9711769,-71.4931272
MLS Listing,,Single Family Residential,428 Mast Rd,Manchester,NH,03102,395000,2,1.0,Manchester,1045,16117,1949,30,378,,Active,,,https://www.redfin.com/NH/Manchester/428-Mast-Rd-03102/home/88253336,PrimeMLS,4975228,N,Y,42.9868003,-71.4951677
MLS Listing,,Single Family Residential,211 Oneida St,Manchester,NH,03102-5004,435000,3,2.0,Manchester,1734,16117,1969,1,251,,Active,November-25-2023 10:00 AM,November-25-2023 11:30 AM,https://www.redfin.com/NH/Manchester/211-Oneida-St-03102/home/88247455,PrimeMLS,4978497,N,Y,42.9666167,-71.4873337
MLS Listing,,Vacant Land,9-48-2 Ladd Ln,Hollis,NH,03049,500000,,,Hollis,,97138,,1,,,Active,,,https://www.redfin.com/NH/Hollis/9-48-2-Ladd-LN-03049/home/188675563,PrimeMLS,4978483,N,Y,42.7415634015075,-71.5760773200989
MLS Listing,,Single Family Residential,15 Ledge Rd,Hudson,NH,03051,399000,3,2.0,Hudson,1300,10454,1959,1,307,,Active,December-1-2023 03:30 PM,December-1-2023 05:30 PM,https://www.redfin.com/NH/Hudson/15-Ledge-Rd-03051/home/96647842,PrimeMLS,4978481,N,Y,42.7729051,-71.4417406
MLS Listing,,Condo/Co-op,"New Boston Rd Unit map 33, lot 18, unit A",Goffstown,NH,03045,450000,3,2.5,Goffstown,1711,53143,2023,1,263,250,Active,,,https://www.redfin.com/NH/Goffstown/New-Boston-Rd-03045/unit-map-33-lot-18-unit-A/home/185379411,PrimeMLS,4978458,N,Y,43.01640813909107,-71.60892652549744
MLS Listing,,Single Family Residential,455 Francestown Rd,New Boston,NH,03070,529000,3,2.5,New Boston,2575,291852,1987,1,205,,Active,November-24-2023 03:00 PM,November-24-2023 07:00 PM,https://www.redfin.com/NH/New-Boston/455-Francestown-Rd-03070/home/88296447,PrimeMLS,4978447,N,Y,42.991418,-71.738336
MLS Listing,,Condo/Co-op,19 Blackstone Dr #1928,Nashua,NH,03063,275000,2,1.0,Nashua,912,,1985,1,302,247,Active,,,https://www.redfin.com/NH/Nashua/19-Blackstone-Dr-03063/unit-1928/home/88093551,PrimeMLS,4978416,N,Y,42.7981154,-71.5268166
MLS Listing,,Single Family Residential,715 Montgomery St,Manchester,NH,03102,399900,3,2.5,Manchester,1864,5227,1930,1,215,,Active,,,https://www.redfin.com/NH/Manchester/715-Montgomery-St-03102/home/88243958,PrimeMLS,4978411,N,Y,42.9976792,-71.4806986
